epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2373.51,0.68769,0.50565,0.91368,0.85017,0.7758,0.85594,0.69538,0.74227,0.5862,0.9222,0.000189072,0.000189072,0.000189072
66,2407.93,0.67749,0.50024,0.91169,0.8339,0.79148,0.85337,0.6936,0.73859,0.58072,0.92353,0.000177823,0.000177823,0.000177823
67,2445.65,0.67333,0.49316,0.91164,0.83825,0.7823,0.85174,0.69313,0.73511,0.58119,0.92567,0.000166574,0.000166574,0.000166574
68,2481.35,0.67996,0.49476,0.91076,0.85234,0.76888,0.85472,0.69571,0.73333,0.5794,0.92332,0.000155325,0.000155325,0.000155325
69,2518.36,0.67832,0.4952,0.91125,0.83642,0.78693,0.85263,0.69248,0.73449,0.57918,0.92357,0.000144077,0.000144077,0.000144077
70,2552.4,0.67356,0.48949,0.91108,0.82201,0.80008,0.85357,0.69342,0.73224,0.57968,0.92154,0.000132828,0.000132828,0.000132828
71,2600.44,0.66391,0.45534,0.89766,0.8429,0.77944,0.84668,0.68611,0.74017,0.58499,0.92822,0.000121579,0.000121579,0.000121579
72,2633.38,0.64759,0.44026,0.89342,0.84809,0.76977,0.84624,0.68681,0.73845,0.58764,0.92849,0.00011033,0.00011033,0.00011033
73,2666.12,0.64182,0.42997,0.89185,0.85339,0.76559,0.84836,0.6873,0.7412,0.58052,0.93191,9.9081e-05,9.9081e-05,9.9081e-05
74,2699.14,0.63334,0.42488,0.89002,0.84352,0.78561,0.85122,0.69077,0.73873,0.57777,0.93086,8.78321e-05,8.78321e-05,8.78321e-05
75,2731.69,0.63732,0.42181,0.88953,0.84383,0.78531,0.851,0.68985,0.74241,0.58071,0.9282,7.65832e-05,7.65832e-05,7.65832e-05
76,2764.17,0.63126,0.4198,0.88857,0.86602,0.76918,0.85124,0.69144,0.73788,0.58023,0.9291,6.53344e-05,6.53344e-05,6.53344e-05
77,2795.88,0.63032,0.41932,0.88784,0.85068,0.77603,0.84957,0.69203,0.73371,0.57897,0.92253,5.40855e-05,5.40855e-05,5.40855e-05
78,2824.73,0.62895,0.41787,0.88519,0.84544,0.77922,0.8531,0.69615,0.73384,0.57382,0.92274,4.28366e-05,4.28366e-05,4.28366e-05
79,2856.04,0.62416,0.41133,0.88442,0.85103,0.78021,0.85247,0.69531,0.7345,0.57597,0.92498,3.15878e-05,3.15878e-05,3.15878e-05
80,2888.9,0.62104,0.40774,0.88293,0.85005,0.77914,0.85158,0.69438,0.73338,0.5762,0.92415,2.03389e-05,2.03389e-05,2.03389e-05
